# číslo	id	název	kategorie   (prázdné id = vyřazený duplicitní motiv)
1	socha-svobody	Socha svobody	places
2	flamenco	Flamenco	people
3	sushi-mistr	Sushi mistr	people
4	maly-vedec	Malý vědec	people
5	vetrny-mlyn	Větrný mlýn	places
6	balony	Horkovzdušné balóny	adventure
7	drak	Drak s vejcem	fantasy
8	potapec	Potápěč	adventure
9	cirkus	Cirkusový stan	places
10	rytir	Rytíř	people
11	indian	Indián	people
12	stonehenge	Stonehenge	places
13	babicka	Babička s vnukem	family
14	detektiv	Detektiv	people
15	katedrala	Katedrála	places
16	let-na-balonkach	Let na balóncích	fantasy
17	panda	Panda u brány	animals
18	sakura	Rozkvetlá třešeň	nature
19			
20	tucnak-kra	Tučňák na kře	animals
21	moai	Sochy Moai	places
22	rover	Vozítko na Marsu	adventure
23	carodejka	Čarodějka	fantasy
24	potopene-mesto	Potopené město	fantasy
25	rogalo	Rogalo nad kaňonem	adventure
26	saxofonista	Saxofonista	people
27	majak-boure	Maják v bouři	places
28	ledni-medved	Lední medvěd	animals
29	baletka	Baletka	people
30	hvezdarna	Hvězdárna	places
31	valecnik	Válečník	people
32	piratska-lod	Pirátská loď	adventure
33	ponorka	Ponorka	adventure
34	kouzelnik	Kouzelník	fantasy
35	svatba	Svatba	family
36	basket-vozik	Basketbal na vozíku	people
37	domek-na-strome	Domek na stromě	places
38	velbloud	Velbloud v poušti	animals
39	start-rakety	Start rakety	adventure
40	samuraj	Samuraj	people
41	vanoce	Vánoce u krbu	family
42	krabice-hra	Hra v krabici	family
43	podzemi	Průzkum podzemí	adventure
44			
45	tukan	Tukan v džungli	animals
46	brankar	Hokejový brankář	people
47	obri-zelva	Obří želva	animals
48	snezitko	Sněžítko	fantasy
49	benatska-maska	Benátská maska	people
50	mayska-pyramida	Mayská pyramida	places
51	gondola	Gondola	places
52	parni-vlak	Parní vlak	adventure
53	veterinarka	Veterinářka	people
54	morska-panna	Mořská panna	fantasy
55			
56	dalekohled-noc	Noc s dalekohledem	adventure
57	kouzelna-kniha	Kouzelná kniha	fantasy
58	muchomurka	Domek z muchomůrky	fantasy
59	hodinar	Hodinář	people
60	truhla-pokladu	Truhla pokladu	fantasy
61	yeti	Yeti	fantasy
62	malir	Malíř v krajině	people
63	ohnostroj	Ohňostroj	places
64	provazochodec	Provazochodec	people
65	kral	Král na trůně	fantasy
66	mimozemstan	Setkání s mimozemšťanem	fantasy
67	horska-chata	Horská chata	places
68	nalez-pokladu	Nález pokladu	adventure
69			
70			
71			
72	skotsky-byk	Skotský býk	animals
73	chobotnice	Chobotnice	animals
74	cesta-pousti	Cesta pouští	adventure
75	pod-hvezdami	Pod hvězdami	family
76	rybar	Rybář na molu	people
77	santa	Santa	fantasy
78	pohadkovy-zamek	Pohádkový zámek	places
79	jeskyne-lucerna	Jeskyně s lucernou	adventure
80	letajici-koberec	Létající koberec	fantasy
