soubor,nazev,kategorie,subject_en
socha-svobody.png,Socha svobody,places,"the Statue of Liberty above the bay, city skyline behind her"
sushi-mistr.png,Sushi mistr,people,a sushi chef with a headband placing nigiri on a plate at his counter
flamenco.png,Flamenco,people,a flamenco dancer in a red ruffled dress mid-spin
balony.png,Horkovzdušné balóny,adventure,several hot-air balloons drifting over morning hills
vetrny-mlyn.png,Větrný mlýn,places,"an old windmill on a green hill, sails turning"
maly-vedec.png,Malý vědec,people,a child scientist in goggles watching a bubbling flask
drak-hory.png,Drak nad horami,fantasy,a dragon flying above mountain peaks
potapec.png,Potápěč,adventure,a scuba diver among coral and tropical fish
cirkus.png,Cirkusový stan,places,a striped circus tent with flags at dusk
rytir.png,Rytíř,people,a knight in shining armour with shield and sword
indian.png,Indián,people,a Native American man in traditional feathered regalia by a campfire
stonehenge.png,Stonehenge,places,the Stonehenge stone circle at sunrise
babicka.png,Babička s vnukem,family,a grandmother reading a book to her grandchild in an armchair
detektiv.png,Detektiv,people,a detective in a trench coat and hat with a magnifying glass
katedrala.png,Katedrála,places,a gothic cathedral with a rose window seen from the square
balonky.png,Kluk s balónky,feelings,"a happy boy holding a bunch of colourful balloons, looking up"
piratska-jeskyne.png,Pirátská jeskyně,fantasy,a pirate cave with a small boat and treasure chests
sakura.png,Rozkvetlá třešeň,nature,a blooming cherry tree with petals floating in the air
tucnak-kra.png,Tučňák na kře,animals,a penguin standing on a small ice floe
rover.png,Vozítko na Marsu,adventure,a Mars rover on red rocky ground
carodejka.png,Čarodějka,fantasy,a witch in a pointed hat stirring a bubbling cauldron
moai.png,Sochy Moai,places,the Moai stone heads on a grassy slope
potopene-mesto.png,Potopené město,fantasy,"a sunken city under the sea, fish swimming among columns"
letajici-stroj.png,Létající stroj,adventure,a whimsical wooden flying machine with flapping wings above clouds
saxofonista.png,Saxofonista,people,a saxophone player under a street lamp at night
majak-boure.png,Maják v bouři,places,a lighthouse struck by stormy waves
baletka.png,Baletka,people,a ballerina on pointe in a spotlight
ledni-medved.png,Lední medvěd,animals,a polar bear walking on ice
hvezdarna.png,Hvězdárna,places,an observatory dome open to a starry sky
bojovnik.png,Bojovník,people,a martial arts fighter mid kick
piratska-lod.png,Pirátská loď,adventure,a pirate ship with black sails on the open sea
svatba.png,Svatba,family,a bride and groom holding hands under an arch of flowers
kouzelnik.png,Kouzelník,fantasy,a magician pulling a rabbit out of a top hat
basket-vozik.png,Basketbal na vozíku,people,a wheelchair basketball player shooting the ball
ponorka.png,Ponorka,adventure,a yellow submarine deep underwater
samuraj.png,Samuraj,people,a samurai with a katana under falling leaves
domek-na-strome.png,Domek na stromě,places,a wooden treehouse with a rope ladder
